typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false","16",,"16","0","true","false",
"C","A","19940101","1994","52","1994","12","DZA","Algeria","M","Import","899","_X ","Areas, nes","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false","16",,"16","0","true","false",
"C","A","19940101","1994","52","1994","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20104","false","-1","N/A",,"false","20104","false",,"false","18043",,"18043","0","true","false",
"C","A","19940101","1994","52","1994","32","ARG","Argentina","M","Import","76","BRA","Brazil","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20019","false","-1","N/A",,"false","20019","false",,"false","17444",,"17444","0","true","false",
"C","A","19940101","1994","52","1994","32","ARG","Argentina","M","Import","842","USA","USA","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","85","false","-1","N/A",,"false","85","false",,"false","599",,"599","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43314832","false","-1","N/A",,"false","43314832","false",,"false",,"21100187","21100187","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","124","CAN","Canada","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4838679","false","-1","N/A",,"false","4838679","false",,"false",,"1546910","1546910","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","152","CHL","Chile","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19309925","false","-1","N/A",,"false","19309925","false",,"false",,"7378217","7378217","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","360","IDN","Indonesia","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9963718","false","-1","N/A",,"false","9963718","false",,"false",,"8086859","8086859","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","598","PNG","Papua New Guinea","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50117","false","-1","N/A",,"false","50117","false",,"false",,"6864","6864","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","620","PRT","Portugal","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7000","false","-1","N/A",,"false","7000","false",,"false",,"2092","2092","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9145375","false","-1","N/A",,"false","9145375","false",,"false",,"4079184","4079184","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","899","_X ","Areas, nes","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18","false","-1","N/A",,"false","18","false",,"false",,"61","61","0","true","false",
"C","A","19940101","1994","52","1994","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","47737","false","-1","N/A",,"false","47737","false",,"false","52220",,"52220","0","true","false",
"C","A","19940101","1994","52","1994","40","AUT","Austria","M","Import","152","CHL","Chile","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23718","false","-1","N/A",,"false","23718","false",,"false","33768",,"33768","0","true","false",
"C","A","19940101","1994","52","1994","40","AUT","Austria","M","Import","620","PRT","Portugal","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24019","false","-1","N/A",,"false","24019","false",,"false","18452",,"18452","0","true","false",
"C","A","19940101","1994","52","1994","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","191",,"191","0","true","false",
"C","A","19940101","1994","52","1994","68","BOL","Bolivia (Plurinational State of)","M","Import","899","_X ","Areas, nes","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","191",,"191","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","433967488","false","-1","N/A",,"false","433967488","false",,"false","233894208",,"233894208","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","100","BGR","Bulgaria","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10206234","false","-1","N/A",,"false","10206234","false",,"false","2938052",,"2938052","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","124","CAN","Canada","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10500000","false","-1","N/A",,"false","10500000","false",,"false","10523757",,"10523757","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","152","CHL","Chile","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","252596320","false","-1","N/A",,"false","252596320","false",,"false","137131904",,"137131904","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","360","IDN","Indonesia","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21739800","false","-1","N/A",,"false","21739800","false",,"false","18470888",,"18470888","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","364","IRN","Iran","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10000000","false","-1","N/A",,"false","10000000","false",,"false","4599904",,"4599904","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","604","PER","Peru","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93574624","false","-1","N/A",,"false","93574624","false",,"false","48055676",,"48055676","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","620","PRT","Portugal","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","35350448","false","-1","N/A",,"false","35350448","false",,"false","12173649",,"12173649","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","899","_X ","Areas, nes","0","W00","World","H0","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66","false","-1","N/A",,"false","66","false",,"false","377",,"377","0","true","false",
