typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false","260",,"260","0","true","false",
"C","A","20140101","2014","52","2014","12","DZA","Algeria","M","Import","251","FRA","France","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"false",,"false",,"false","40",,"40","0","true","false",
"C","A","20140101","2014","52","2014","12","DZA","Algeria","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","71",,"71","0","true","false",
"C","A","20140101","2014","52","2014","12","DZA","Algeria","M","Import","757","CHE","Switzerland","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","57",,"57","0","true","false",
"C","A","20140101","2014","52","2014","12","DZA","Algeria","M","Import","842","USA","USA","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"false",,"false",,"false","93",,"93","0","true","false",
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41011","false","-1","N/A",,"false","41011","false",,"false","68350",,"68350","0","true","false",
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","56","BEL","Belgium","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","false","-1","N/A",,"false","12","false",,"false","284",,"284","0","true","false",
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","156","CHN","China","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8646","false","-1","N/A",,"false","8646","false",,"false","13838",,"13838","0","true","false",
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","576","false","-1","N/A",,"false","576","false",,"false","5",,"5","0","true","false",
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","422","LBN","Lebanon","0","W00","World","H4","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","994","false","-1","N/A",,"false","994","false",,"false","595",,"595","0","true","false",
