typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","219220","false","-1","N/A",,"false","219220","false",,"false",,"31561","31561","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","72","BWA","Botswana","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","348","false","-1","N/A",,"false","348","false",,"false",,"293","293","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","76","BRA","Brazil","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","218813","false","-1","N/A",,"false","218813","false",,"false",,"29740","29740","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","124","CAN","Canada","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false",,"830","830","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","579","NOR","Norway","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","58","false","-1","N/A",,"false","58","false",,"false",,"698","698","0","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24300","false","-1","N/A",,"false","24300","false",,"false","301045",,"301045","0","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24300","false","-1","N/A",,"false","24300","false",,"false","301045",,"301045","0","true","false",
"C","A","20040101","2004","52","2004","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2000","false","-1","N/A",,"false","2000","false",,"false","514",,"514","0","true","false",
"C","A","20040101","2004","52","2004","44","BHS","Bahamas","M","Import","842","USA","USA","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2000","false","-1","N/A",,"false","2000","false",,"false","514",,"514","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H2","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","181423","false","-1","N/A",,"false","181423","false",,"false","587456",,"587456","0","true","false",
