typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,19940101,1994,52,1994,12,DZA,Algeria,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,618,FALSE,-1,N/A,,FALSE,618,FALSE,,FALSE,36149,,36149,0,TRUE,FALSE
C,A,19940101,1994,52,1994,12,DZA,Algeria,M,Import,58,BEL,Belgium-Luxembourg (...1998),0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,78,FALSE,-1,N/A,,FALSE,78,FALSE,,FALSE,16830,,16830,0,TRUE,FALSE
C,A,19940101,1994,52,1994,12,DZA,Algeria,M,Import,251,FRA,France,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24,FALSE,-1,N/A,,FALSE,24,FALSE,,FALSE,5371,,5371,0,TRUE,FALSE
C,A,19940101,1994,52,1994,12,DZA,Algeria,M,Import,699,IND,India,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,398,FALSE,-1,N/A,,FALSE,398,FALSE,,FALSE,13363,,13363,0,TRUE,FALSE
C,A,19940101,1994,52,1994,12,DZA,Algeria,M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,117,FALSE,-1,N/A,,FALSE,117,FALSE,,FALSE,568,,568,0,TRUE,FALSE
C,A,19940101,1994,52,1994,12,DZA,Algeria,M,Import,899,_X ,"Areas, nes",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,-1,N/A,,FALSE,1,FALSE,,FALSE,17,,17,0,TRUE,FALSE
C,A,19940101,1994,52,1994,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30346,FALSE,-1,N/A,,FALSE,30346,FALSE,,FALSE,146405,,146405,0,TRUE,FALSE
C,A,19940101,1994,52,1994,32,ARG,Argentina,M,Import,276,DEU,Germany,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6,FALSE,-1,N/A,,FALSE,6,FALSE,,FALSE,1080,,1080,0,TRUE,FALSE
C,A,19940101,1994,52,1994,32,ARG,Argentina,M,Import,757,CHE,Switzerland,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,-1,N/A,,FALSE,1,FALSE,,FALSE,1299,,1299,0,TRUE,FALSE
C,A,19940101,1994,52,1994,32,ARG,Argentina,M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30339,FALSE,-1,N/A,,FALSE,30339,FALSE,,FALSE,144026,,144026,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,413,FALSE,-1,N/A,,FALSE,413,FALSE,,FALSE,,37740,37740,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,M,Import,276,DEU,Germany,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3,FALSE,-1,N/A,,FALSE,3,FALSE,,FALSE,,538,538,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,M,Import,752,SWE,Sweden,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10,FALSE,-1,N/A,,FALSE,10,FALSE,,FALSE,,2116,2116,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,M,Import,826,GBR,United Kingdom,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41,FALSE,-1,N/A,,FALSE,41,FALSE,,FALSE,,2593,2593,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,359,FALSE,-1,N/A,,FALSE,359,FALSE,,FALSE,,32493,32493,0,TRUE,FALSE
C,A,19940101,1994,52,1994,40,AUT,Austria,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5,FALSE,-1,N/A,,FALSE,5,FALSE,,FALSE,3614,,3614,0,TRUE,FALSE
C,A,19940101,1994,52,1994,40,AUT,Austria,M,Import,268,GEO,Georgia,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2,FALSE,-1,N/A,,FALSE,2,FALSE,,FALSE,1906,,1906,0,TRUE,FALSE
C,A,19940101,1994,52,1994,40,AUT,Austria,M,Import,276,DEU,Germany,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3,FALSE,-1,N/A,,FALSE,3,FALSE,,FALSE,1708,,1708,0,TRUE,FALSE
C,A,19940101,1994,52,1994,68,BOL,Bolivia (Plurinational State of),M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18,FALSE,-1,N/A,,FALSE,18,FALSE,,FALSE,539,,539,0,TRUE,FALSE
C,A,19940101,1994,52,1994,68,BOL,Bolivia (Plurinational State of),M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18,FALSE,-1,N/A,,FALSE,18,FALSE,,FALSE,539,,539,0,TRUE,FALSE
C,A,19940101,1994,52,1994,76,BRA,Brazil,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15,FALSE,-1,N/A,,FALSE,15,FALSE,,FALSE,9397,,9397,0,TRUE,FALSE
C,A,19940101,1994,52,1994,76,BRA,Brazil,M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14,FALSE,-1,N/A,,FALSE,14,FALSE,,FALSE,9230,,9230,0,TRUE,FALSE
C,A,19940101,1994,52,1994,76,BRA,Brazil,M,Import,899,_X ,"Areas, nes",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,-1,N/A,,FALSE,1,FALSE,,FALSE,167,,167,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4098,FALSE,-1,N/A,,FALSE,4098,FALSE,,FALSE,,25327,25327,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,X,Export,124,CAN,Canada,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,164,FALSE,-1,N/A,,FALSE,164,FALSE,,FALSE,,3756,3756,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,X,Export,554,NZL,New Zealand,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1687,FALSE,-1,N/A,,FALSE,1687,FALSE,,FALSE,,9796,9796,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,X,Export,598,PNG,Papua New Guinea,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1937,FALSE,-1,N/A,,FALSE,1937,FALSE,,FALSE,,8777,8777,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,X,Export,702,SGP,Singapore,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41,FALSE,-1,N/A,,FALSE,41,FALSE,,FALSE,,776,776,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,X,Export,764,THA,Thailand,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,55,FALSE,-1,N/A,,FALSE,55,FALSE,,FALSE,,1820,1820,0,TRUE,FALSE
C,A,19940101,1994,52,1994,36,AUS,Australia,X,Export,899,_X ,"Areas, nes",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,214,FALSE,-1,N/A,,FALSE,214,FALSE,,FALSE,,402,402,0,TRUE,FALSE
C,A,19940101,1994,52,1994,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,398,FALSE,-1,N/A,,FALSE,398,FALSE,,FALSE,,3028,3028,0,TRUE,FALSE
C,A,19940101,1994,52,1994,40,AUT,Austria,X,Export,703,SVK,Slovakia,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,398,FALSE,-1,N/A,,FALSE,398,FALSE,,FALSE,,3028,3028,0,TRUE,FALSE
C,A,19940101,1994,52,1994,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,-1,N/A,,FALSE,1,FALSE,,FALSE,,8,8,0,TRUE,FALSE
C,A,19940101,1994,52,1994,76,BRA,Brazil,X,Export,899,_X ,"Areas, nes",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,-1,N/A,,FALSE,1,FALSE,,FALSE,,8,8,0,TRUE,FALSE
C,A,19940101,1994,52,1994,124,CAN,Canada,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,93448,FALSE,-1,N/A,,FALSE,93448,FALSE,,FALSE,,272811,272811,0,TRUE,FALSE
C,A,19940101,1994,52,1994,124,CAN,Canada,M,Import,643,RUS,Russian Federation,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21214,FALSE,-1,N/A,,FALSE,21214,FALSE,,FALSE,,129724,129724,0,TRUE,FALSE
C,A,19940101,1994,52,1994,124,CAN,Canada,M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,72234,FALSE,-1,N/A,,FALSE,72234,FALSE,,FALSE,,143087,143087,0,TRUE,FALSE
C,A,19940101,1994,52,1994,144,LKA,Sri Lanka,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19397,FALSE,-1,N/A,,FALSE,19397,FALSE,,FALSE,4601,,4601,0,TRUE,FALSE
C,A,19940101,1994,52,1994,144,LKA,Sri Lanka,M,Import,528,NLD,Netherlands,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,97,FALSE,-1,N/A,,FALSE,97,FALSE,,FALSE,662,,662,0,TRUE,FALSE
C,A,19940101,1994,52,1994,144,LKA,Sri Lanka,M,Import,699,IND,India,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19300,FALSE,-1,N/A,,FALSE,19300,FALSE,,FALSE,3939,,3939,0,TRUE,FALSE
C,A,19940101,1994,52,1994,152,CHL,Chile,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45,FALSE,-1,N/A,,FALSE,45,FALSE,,FALSE,1766,,1766,0,TRUE,FALSE
C,A,19940101,1994,52,1994,152,CHL,Chile,M,Import,276,DEU,Germany,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20,FALSE,-1,N/A,,FALSE,20,FALSE,,FALSE,754,,754,0,TRUE,FALSE
C,A,19940101,1994,52,1994,152,CHL,Chile,M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25,FALSE,-1,N/A,,FALSE,25,FALSE,,FALSE,1012,,1012,0,TRUE,FALSE
C,A,19940101,1994,52,1994,156,CHN,China,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31034,FALSE,-1,N/A,,FALSE,31034,FALSE,,FALSE,37635,,37635,0,TRUE,FALSE
C,A,19940101,1994,52,1994,156,CHN,China,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,820,FALSE,-1,N/A,,FALSE,820,FALSE,,FALSE,4884,,4884,0,TRUE,FALSE
C,A,19940101,1994,52,1994,156,CHN,China,M,Import,392,JPN,Japan,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3187,FALSE,-1,N/A,,FALSE,3187,FALSE,,FALSE,2335,,2335,0,TRUE,FALSE
C,A,19940101,1994,52,1994,156,CHN,China,M,Import,410,KOR,Rep. of Korea,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,652,FALSE,-1,N/A,,FALSE,652,FALSE,,FALSE,1284,,1284,0,TRUE,FALSE
C,A,19940101,1994,52,1994,156,CHN,China,M,Import,490,S19,"Other Asia, nes",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10375,FALSE,-1,N/A,,FALSE,10375,FALSE,,FALSE,6649,,6649,0,TRUE,FALSE
C,A,19940101,1994,52,1994,156,CHN,China,M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16000,FALSE,-1,N/A,,FALSE,16000,FALSE,,FALSE,22483,,22483,0,TRUE,FALSE
C,A,19940101,1994,52,1994,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,188,FALSE,-1,N/A,,FALSE,188,FALSE,,FALSE,60097,,60097,0,TRUE,FALSE
C,A,19940101,1994,52,1994,170,COL,Colombia,M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,187,FALSE,-1,N/A,,FALSE,187,FALSE,,FALSE,59785,,59785,0,TRUE,FALSE
C,A,19940101,1994,52,1994,170,COL,Colombia,M,Import,899,_X ,"Areas, nes",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,-1,N/A,,FALSE,1,FALSE,,FALSE,312,,312,0,TRUE,FALSE
C,A,19940101,1994,52,1994,188,CRI,Costa Rica,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3570,FALSE,-1,N/A,,FALSE,3570,FALSE,,FALSE,38679,,38679,0,TRUE,FALSE
C,A,19940101,1994,52,1994,188,CRI,Costa Rica,M,Import,842,USA,USA,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3562,FALSE,-1,N/A,,FALSE,3562,FALSE,,FALSE,38617,,38617,0,TRUE,FALSE
C,A,19940101,1994,52,1994,188,CRI,Costa Rica,M,Import,899,_X ,"Areas, nes",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8,FALSE,-1,N/A,,FALSE,8,FALSE,,FALSE,62,,62,0,TRUE,FALSE
C,A,19940101,1994,52,1994,191,HRV,Croatia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,1141,,1141,0,TRUE,FALSE
C,A,19940101,1994,52,1994,191,HRV,Croatia,M,Import,276,DEU,Germany,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,1141,,1141,0,TRUE,FALSE
C,A,19940101,1994,52,1994,196,CYP,Cyprus,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,75,,75,0,TRUE,FALSE
C,A,19940101,1994,52,1994,196,CYP,Cyprus,M,Import,899,_X ,"Areas, nes",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,75,,75,0,TRUE,FALSE
C,A,19940101,1994,52,1994,203,CZE,Czechia,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6,FALSE,-1,N/A,,FALSE,6,FALSE,,FALSE,,976,976,0,TRUE,FALSE
C,A,19940101,1994,52,1994,203,CZE,Czechia,M,Import,276,DEU,Germany,0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3,FALSE,-1,N/A,,FALSE,3,FALSE,,FALSE,,802,802,0,TRUE,FALSE
C,A,19940101,1994,52,1994,203,CZE,Czechia,M,Import,899,_X ,"Areas, nes",0,W00,World,H0,HS,TRUE,280519,Alkali metals; other than sodium,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3,FALSE,-1,N/A,,FALSE,3,FALSE,,FALSE,,174,174,0,TRUE,FALSE
