typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","800","false","8","kg","800","false","800","false",,"false","4176.9","36","4176.9","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","320","GTM","Guatemala","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","800","false","8","kg","800","false","800","false",,"false","4176.9","36","4176.9","0","false","true",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2326","false","-1","N/A",,"false","2326","false",,"false",,"1144","1144","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2326","false","-1","N/A",,"false","2326","false",,"false",,"1144","1144","0","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3300","false","-1","N/A",,"false","3300","false",,"false","20510",,"20510","0","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3300","false","-1","N/A",,"false","3300","false",,"false","20510",,"20510","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","148959","false","8","kg","148959","false","148959","false","0","false","192526.481","0","192526.481","0","false","true",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","330","false","8","kg","330","false","330","false","0","false","3809.415","0","3809.415","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","251","FRA","France","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","125084","false","8","kg","125084","false","125084","false","0","false","184002.155","0","184002.155","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","688","SRB","Serbia","0","W00","World","H4","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23545","false","8","kg","23545","false","23545","false","0","false","4714.911","0","4714.911","0","true","false",
