typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20040101","2004","52","2004","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7","false","-1","N/A",,"false","7","false",,"false","51",,"51","0","true","false",
"C","A","20040101","2004","52","2004","32","ARG","Argentina","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7","false","-1","N/A",,"false","7","false",,"false","51",,"51","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9966","false","-1","N/A",,"false","9966","false",,"false",,"8879","8879","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","124","CAN","Canada","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5","false","-1","N/A",,"false","5","false",,"false",,"1590","1590","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false",,"227","227","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3200","false","-1","N/A",,"false","3200","false",,"false",,"753","753","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","360","IDN","Indonesia","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13","false","-1","N/A",,"false","13","false",,"false",,"1202","1202","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","598","PNG","Papua New Guinea","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6300","false","-1","N/A",,"false","6300","false",,"false",,"2152","2152","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","702","SGP","Singapore","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","446","false","-1","N/A",,"false","446","false",,"false",,"2955","2955","0","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","85800","false","-1","N/A",,"false","85800","false",,"false","106387",,"106387","0","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","85800","false","-1","N/A",,"false","85800","false",,"false","106387",,"106387","0","true","false",
"C","A","20040101","2004","52","2004","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24000","false","-1","N/A",,"false","24000","false",,"false","646",,"646","0","true","false",
"C","A","20040101","2004","52","2004","48","BHR","Bahrain","M","Import","512","OMN","Oman","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24000","false","-1","N/A",,"false","24000","false",,"false","646",,"646","0","true","false",
"C","A","20040101","2004","52","2004","50","BGD","Bangladesh","M","Import","0","W00","World","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45000","false","-1","N/A",,"false","45000","false",,"false","9129",,"9129","0","true","false",
"C","A","20040101","2004","52","2004","50","BGD","Bangladesh","M","Import","699","IND","India","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45000","false","-1","N/A",,"false","45000","false",,"false","9129",,"9129","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","995015","false","-1","N/A",,"false","995015","false",,"false","2078500",,"2078500","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","36","AUS","Australia","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38500","false","-1","N/A",,"false","38500","false",,"false","115126",,"115126","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","100","BGR","Bulgaria","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9680","false","-1","N/A",,"false","9680","false",,"false","7888",,"7888","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","68427","false","-1","N/A",,"false","68427","false",,"false","27351",,"27351","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","208","DNK","Denmark","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","332","false","-1","N/A",,"false","332","false",,"false","774",,"774","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","251","FRA","France","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","570","false","-1","N/A",,"false","570","false",,"false","2940",,"2940","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","724","ESP","Spain","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","877476","false","-1","N/A",,"false","877476","false",,"false","1923588",,"1923588","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","826","GBR","United Kingdom","0","W00","World","H2","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30","false","-1","N/A",,"false","30","false",,"false","833",,"833","0","true","false",
"C","A","20040101","2004","52","2004","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H1","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32515","true","-1","N/A",,"false","32515","true",,"false","24280",,"24280","6","false","false",
"C","A","20040101","2004","52","2004","72","BWA","Botswana","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H1","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5792","true","-1","N/A",,"false","5792","true",,"false","4325",,"4325","6","false","false",
