typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10228","false","-1","N/A",,"false","10228","false",,"false",,"2992","2992","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","838","X2 ","Free Zones","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10187","false","-1","N/A",,"false","10187","false",,"false",,"554","554","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41","false","-1","N/A",,"false","41","false",,"false",,"2438","2438","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","148","false","-1","N/A",,"false","148","false",,"false","1834",,"1834","0","true","false",
"C","A","19940101","1994","52","1994","76","BRA","Brazil","M","Import","752","SWE","Sweden","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","148","false","-1","N/A",,"false","148","false",,"false","1834",,"1834","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","68206500","false","-1","N/A",,"false","68206500","false",,"false",,"26734580","26734580","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","X","Export","246","FIN","Finland","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","68200500","false","-1","N/A",,"false","68200500","false",,"false",,"26731798","26731798","0","true","false",
"C","A","19940101","1994","52","1994","36","AUS","Australia","X","Export","711","ZA1","Southern African Customs Union (...1999)","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6000","false","-1","N/A",,"false","6000","false",,"false",,"2782","2782","0","true","false",
"C","A","19940101","1994","52","1994","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","896687","false","-1","N/A",,"false","896687","false",,"false",,"3641388","3641388","0","true","false",
"C","A","19940101","1994","52","1994","124","CAN","Canada","M","Import","842","USA","USA","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","896687","false","-1","N/A",,"false","896687","false",,"false",,"3641388","3641388","0","true","false",
"C","A","19940101","1994","52","1994","156","CHN","China","M","Import","0","W00","World","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","312388","false","-1","N/A",,"false","312388","false",,"false","51374",,"51374","0","true","false",
"C","A","19940101","1994","52","1994","156","CHN","China","M","Import","104","MMR","Myanmar","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","256625","false","-1","N/A",,"false","256625","false",,"false","41300",,"41300","0","true","false",
"C","A","19940101","1994","52","1994","156","CHN","China","M","Import","392","JPN","Japan","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","597","false","-1","N/A",,"false","597","false",,"false","3105",,"3105","0","true","false",
"C","A","19940101","1994","52","1994","156","CHN","China","M","Import","490","S19","Other Asia, nes","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","500","false","-1","N/A",,"false","500","false",,"false","1940",,"1940","0","true","false",
"C","A","19940101","1994","52","1994","156","CHN","China","M","Import","842","USA","USA","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54636","false","-1","N/A",,"false","54636","false",,"false","4875",,"4875","0","true","false",
"C","A","19940101","1994","52","1994","156","CHN","China","M","Import","899","_X ","Areas, nes","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30","false","-1","N/A",,"false","30","false",,"false","154",,"154","0","true","false",
"C","A","19940101","1994","52","1994","203","CZE","Czechia","M","Import","0","W00","World","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A",,"false",,"false",,"false",,"87438","87438","0","true","false",
"C","A","19940101","1994","52","1994","203","CZE","Czechia","M","Import","528","NLD","Netherlands","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A",,"false",,"false",,"false",,"3942","3942","0","true","false",
"C","A","19940101","1994","52","1994","203","CZE","Czechia","M","Import","703","SVK","Slovakia","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A",,"false",,"false",,"false",,"83496","83496","0","true","false",
"C","A","19940101","1994","52","1994","208","DNK","Denmark","M","Import","0","W00","World","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16420000","false","-1","N/A",,"false","16420000","false",,"false","1382469",,"1382469","0","true","false",
"C","A","19940101","1994","52","1994","208","DNK","Denmark","M","Import","699","IND","India","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16420000","false","-1","N/A",,"false","16420000","false",,"false","1382469",,"1382469","0","true","false",
"C","A","19940101","1994","52","1994","203","CZE","Czechia","X","Export","0","W00","World","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","286835","false","-1","N/A",,"false","286835","false",,"false",,"362907","362907","0","true","false",
"C","A","19940101","1994","52","1994","203","CZE","Czechia","X","Export","40","AUT","Austria","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11937","false","-1","N/A",,"false","11937","false",,"false",,"59904","59904","0","true","false",
"C","A","19940101","1994","52","1994","203","CZE","Czechia","X","Export","276","DEU","Germany","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41750","false","-1","N/A",,"false","41750","false",,"false",,"44310","44310","0","true","false",
"C","A","19940101","1994","52","1994","203","CZE","Czechia","X","Export","826","GBR","United Kingdom","0","W00","World","H0","HS","true","260400","Nickel ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","233148","false","-1","N/A",,"false","233148","false",,"false",,"258693","258693","0","true","false",
