typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","256179","false","8","kg","256179","false","256179","false","0","false","304939.693","0","304939.693","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4090","false","8","kg","4090","false","4090","false","0","false","36476.556","0","36476.556","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","251","FRA","France","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","58133.1","false","8","kg","58133.1","false","58133.1","false","0","false","283480.86","0","283480.86","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46154.6","false","8","kg","46154.6","false","46154.6","false","0","false","395241.601","0","395241.601","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","450","MDG","Madagascar","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","8","kg","3","false","3","false","0","false","46.057","0","46.057","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2539490","false","8","kg","2539490","false","2539490","false","0","false","13668242.243","0","13668242.243","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","604","PER","Peru","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","998630","false","8","kg","998630","false","998630","false","0","false","6162895.596","0","6162895.596","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2098","false","8","kg","2098","false","2098","false","0","false","5432.044","0","5432.044","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","724","ESP","Spain","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","111.72","false","8","kg","111.72","false","111.72","false","0","false","71.425","0","71.425","0","true","false",
"C","A","20140101","2014","52","2014","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false",,"false","29.89","5","29.89","0","false","true",
