typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","432","false","-1","N/A",,"false","432","false",,"false",,"2900","2900","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","79","false","-1","N/A",,"false","79","false",,"false",,"2460","2460","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","376","ISR","Israel","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5250","false","-1","N/A",,"false","5250","false",,"false",,"10409","10409","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2332","false","-1","N/A",,"false","2332","false",,"false",,"50290","50290","0","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23773","true","-1","N/A",,"false","23773","true",,"false","19886",,"19886","6","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","M","Import","56","BEL","Belgium","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21000","false","-1","N/A",,"false","21000","false",,"false","15516",,"15516","0","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","246","true","-1","N/A",,"false","246","true",,"false","2256",,"2256","6","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","M","Import","757","CHE","Switzerland","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","735","true","-1","N/A",,"false","735","true",,"false","615",,"615","6","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","M","Import","842","USA","USA","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1792","true","-1","N/A",,"false","1792","true",,"false","1499",,"1499","6","true","false",
"C","A","20040101","2004","52","2004","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2042","false","-1","N/A",,"false","2042","false",,"false","3942",,"3942","0","true","false",
