0	0	4
0	0	30
0	0	15
0	0	20
0	1	72
0	1	9
0	1	10
0	2	7
0	3	72
0	4	20
0	5	4
0	5	27
0	5	21
0	6	72
0	7	10
0	7	35
0	7	112
0	7	16
0	7	31
0	7	111
0	8	9
0	9	1
0	9	3
0	9	88
0	9	98
0	10	25
0	10	8
0	10	32
0	11	4
0	11	15
0	12	10
0	12	13
0	13	9
0	14	4
0	15	32
0	15	40
0	16	25
0	16	44
0	16	7
0	16	10
0	16	13
0	16	43
0	17	7
0	18	8
0	19	112
0	20	23
0	20	2
0	20	4
0	20	72
0	20	7
0	20	113
0	20	28
0	20	10
0	20	114
0	20	38
0	20	29
0	20	12
0	20	42
0	20	58
0	20	16
0	21	13
0	21	100
0	21	20
0	21	49
0	22	21
1	23	25
1	0	7
1	24	98
1	1	25
1	1	3
1	1	4
1	1	27
1	1	9
1	1	11
1	1	16
1	1	67
1	1	60
1	25	11
1	4	1
1	4	11
1	4	20
1	26	99
1	5	27
1	5	20
1	5	21
1	6	72
1	7	1
1	7	28
1	7	16
1	27	25
1	27	35
1	27	60
1	28	7
1	28	9
1	9	1
1	9	7
1	9	84
1	9	78
1	9	60
1	9	61
1	9	40
1	10	25
1	10	4
1	10	8
1	10	12
1	10	16
1	11	4
1	29	38
1	12	7
1	12	9
1	12	35
1	12	16
1	13	115
1	13	60
1	30	4
1	14	4
1	15	40
1	16	1
1	16	25
1	16	4
1	16	29
1	16	13
1	31	15
1	17	72
1	17	27
1	17	98
1	32	38
1	20	1
1	20	25
1	20	2
1	20	72
1	20	6
1	20	7
1	20	27
1	20	28
1	20	9
1	20	51
1	20	38
1	20	29
1	20	12
1	20	42
1	20	58
1	20	116
1	20	16
1	20	67
1	21	4
2	33	97
2	0	9
2	0	29
2	0	42
2	1	27
2	1	9
2	1	43
2	2	73
2	2	81
2	4	73
2	4	117
2	5	4
2	5	29
2	5	21
2	34	4
2	7	1
2	7	86
2	7	35
2	7	16
2	7	60
2	7	19
2	27	25
2	27	9
2	28	27
2	9	0
2	9	3
2	9	14
2	9	60
2	10	8
2	10	11
2	10	29
2	10	42
2	10	32
2	35	13
2	11	4
2	13	73
2	13	60
2	30	29
2	14	4
2	16	24
2	16	1
2	16	25
2	16	44
2	16	9
2	16	10
2	16	29
2	16	13
2	36	4
2	17	25
2	17	4
2	17	28
2	17	16
2	18	21
2	20	0
2	20	25
2	20	2
2	20	72
2	20	9
2	20	10
2	20	11
2	20	38
2	20	29
2	20	12
2	20	118
2	20	30
2	20	42
2	20	58
2	20	16
2	20	39
2	20	43
2	20	119
2	20	40
2	20	71
2	21	4
2	21	11
3	37	25
3	0	29
3	0	30
3	0	31
3	0	39
3	0	20
3	1	33
3	1	25
3	1	2
3	1	3
3	1	41
3	1	56
3	1	27
3	1	9
3	1	29
3	1	120
3	1	58
3	1	16
3	1	60
3	1	20
3	2	25
3	2	29
3	3	13
3	5	4
3	5	29
3	6	51
3	34	29
3	7	1
3	7	27
3	7	12
3	7	73
3	7	16
3	27	0
3	27	25
3	27	4
3	28	27
3	9	1
3	9	73
3	9	60
3	10	2
3	10	4
3	10	27
3	10	9
3	10	12
3	10	73
3	10	16
3	10	32
3	35	14
3	11	4
3	11	29
3	11	30
3	11	32
3	38	30
3	29	15
3	12	10
3	13	12
3	13	60
3	30	9
3	30	29
3	30	97
3	16	1
3	16	25
3	16	4
3	16	44
3	16	35
3	16	38
3	16	13
3	39	0
3	17	28
3	17	10
3	17	67
3	32	40
3	18	16
3	40	75
3	20	23
3	20	1
3	20	25
3	20	2
3	20	4
3	20	113
3	20	56
3	20	9
