0	0	6
0	0	15
0	0	26
0	1	7
0	1	8
0	1	15
0	1	17
0	2	4
0	3	64
0	3	4
0	3	8
0	4	7
0	4	8
0	4	34
0	4	109
0	4	126
0	5	101
0	6	40
0	7	17
0	7	139
0	8	53
0	8	32
0	8	7
0	8	11
0	8	34
0	8	17
0	8	20
0	8	24
0	9	133
0	10	0
0	10	13
0	10	24
0	11	53
0	11	20
0	12	8
0	12	15
0	12	17
0	13	30
0	13	17
0	14	30
0	15	21
0	16	7
0	16	13
0	17	7
0	17	8
0	17	10
0	18	4
0	18	6
0	19	13
0	19	15
0	20	140
0	21	10
0	21	15
0	21	48
0	22	64
0	22	3
0	22	4
0	22	8
0	23	28
0	23	8
0	23	18
0	24	0
0	24	2
0	24	41
0	24	30
0	24	39
0	24	4
0	24	6
0	24	8
0	24	9
0	24	43
0	24	34
0	24	68
0	24	13
0	24	44
0	24	15
0	24	51
0	24	23
0	25	26
0	26	23
0	27	24
1	0	2
1	0	6
1	0	24
1	0	26
1	1	3
1	1	7
1	1	24
1	28	4
1	2	4
1	29	24
1	30	15
1	31	4
1	31	17
1	3	4
1	4	0
1	4	1
1	4	3
1	4	7
1	4	8
1	4	17
1	4	24
1	32	7
1	6	7
1	6	40
1	7	1
1	7	32
1	7	141
1	8	2
1	8	30
1	8	3
1	8	34
1	8	12
1	8	44
1	8	15
1	8	126
1	8	24
1	8	26
1	33	24
1	10	0
1	10	8
1	10	13
1	10	24
1	34	8
1	13	1
1	13	17
1	35	30
1	36	26
1	37	85
1	16	7
1	16	13
1	16	24
1	17	1
1	17	3
1	17	8
1	17	10
1	18	4
1	18	6
1	19	13
1	21	15
1	24	0
1	24	2
1	24	30
1	24	6
1	24	7
1	24	8
1	24	9
1	24	44
1	24	21
1	24	48
1	24	25
2	38	28
2	0	2
2	0	6
2	0	10
2	0	24
2	0	26
2	1	7
2	1	8
2	1	45
2	28	4
2	28	7
2	2	4
2	2	24
2	39	2
2	4	1
2	4	3
2	4	32
2	4	7
2	4	8
2	4	17
2	4	61
2	4	24
2	5	2
2	32	28
2	32	31
2	32	45
2	32	90
2	6	40
2	7	0
2	7	1
2	7	4
2	7	8
2	7	24
2	8	2
2	8	32
2	8	11
2	8	13
2	8	37
2	8	17
2	8	18
2	8	108
2	8	126
2	8	24
2	8	26
2	10	0
2	10	13
2	12	64
2	12	2
2	12	7
2	13	44
2	13	48
2	35	40
2	36	24
2	36	26
2	14	30
2	16	7
2	16	13
2	16	24
2	17	1
2	17	30
2	17	3
2	17	32
2	17	8
2	17	12
2	18	4
2	18	6
2	19	0
2	19	13
2	40	35
2	21	30
2	24	0
2	24	28
2	24	2
2	24	30
2	24	39
2	24	6
2	24	7
2	24	8
2	24	9
2	24	11
2	24	68
2	24	13
2	24	44
2	24	54
2	24	15
2	24	17
2	24	20
2	24	21
2	24	48
2	25	4
2	26	1
2	26	2
2	26	6
3	0	2
3	0	30
3	0	95
3	0	6
3	0	24
3	0	26
3	0	27
3	1	29
3	1	32
3	1	7
3	1	17
3	28	4
3	2	30
3	2	4
3	2	26
3	41	48
3	29	6
3	29	24
3	30	44
3	42	2
3	42	24
3	39	8
3	31	32
3	4	64
3	4	1
3	4	53
3	4	129
3	4	7
3	4	8
3	4	12
3	4	17
3	4	61
3	4	24
3	32	45
3	32	90
3	32	25
3	6	40
3	7	1
3	7	142
3	8	32
3	8	34
3	8	111
3	8	143
3	8	48
3	8	24
3	8	26
3	9	133
3	43	30
3	33	2
3	10	0
3	10	30
3	10	13
3	10	44
3	10	17
3	34	8
3	12	8
3	12	81
3	13	108
3	13	24
3	35	40
3	44	19
3	45	18
3	36	24
3	36	26
3	14	30
3	15	21
3	16	7
3	16	13
3	16	24
3	17	3
3	17	4
3	17	10
3	17	44
3	17	90
3	17	40
3	18	6
3	19	0
3	19	13
3	46	0
3	46	2
3	47	25
3	40	8
3	21	43
3	21	15
3	22	64
3	23	6
3	23	75
3	48	8
3	24	0
3	24	64
3	24	1
3	24	144
3	24	2
3	24	30
3	24	39
3	24	4
3	24	5
3	24	6
3	24	7
3	24	8
3	24	33
3	24	68
3	24	12
3	24	44
3	24	54
3	24	20
3	24	21
3	24	48
3	24	25
3	24	26
3	26	2
4	0	6
4	0	26
4	1	2
4	1	7
4	1	17
4	49	108
4	28	6
4	28	24
