0	0	29
0	1	4
0	1	43
0	1	59
0	1	53
0	1	30
0	1	33
0	2	17
0	2	68
0	3	151
0	3	10
0	3	24
0	4	8
0	4	21
0	4	24
0	4	155
0	4	29
0	4	34
0	5	37
0	5	8
0	5	9
0	5	11
0	5	38
0	5	12
0	5	13
0	5	17
0	5	18
0	5	19
0	5	43
0	5	29
0	5	30
0	5	34
0	6	8
0	6	12
0	6	13
0	6	15
0	6	17
0	6	19
0	6	43
0	6	25
0	6	110
0	6	33
0	6	34
0	6	36
0	7	3
0	7	8
0	8	37
0	8	1
0	8	2
0	8	5
0	8	62
0	8	7
0	8	9
0	8	50
0	8	11
0	8	38
0	8	12
0	8	13
0	8	16
0	8	17
0	8	123
0	8	18
0	8	80
0	8	19
0	8	43
0	8	24
0	8	25
0	8	54
0	8	155
0	8	29
0	8	68
0	8	31
0	8	32
0	8	95
0	8	34
0	8	35
0	8	36
0	9	123
0	10	24
0	11	12
0	11	18
0	11	23
0	11	54
0	12	4
0	12	8
0	12	151
0	12	156
0	12	18
0	12	80
0	12	100
0	12	26
0	12	30
0	12	95
0	13	0
0	13	1
0	13	2
0	13	3
0	13	113
0	13	5
0	13	8
0	13	11
0	13	38
0	13	12
0	13	40
0	13	16
0	13	17
0	13	51
0	13	92
0	13	18
0	13	19
0	13	21
0	13	43
0	13	24
0	13	29
0	13	30
0	13	32
0	13	34
0	13	36
0	14	2
0	15	6
0	15	21
0	15	34
0	16	9
0	16	32
0	17	1
0	17	6
0	17	151
0	17	21
0	17	131
0	17	24
0	17	34
0	18	5
0	18	157
0	18	57
0	18	132
0	18	43
0	18	27
0	18	29
0	18	30
0	18	31
0	18	95
0	18	36
0	19	4
0	19	6
0	19	12
0	19	41
0	19	21
0	19	158
0	19	133
0	19	43
0	19	29
0	19	30
0	19	34
0	20	47
0	21	6
0	21	34
0	22	8
0	23	34
0	24	17
0	24	51
0	24	18
0	24	131
0	24	43
0	25	29
0	26	12
0	27	54
0	28	4
0	28	8
0	28	19
0	28	65
0	28	34
0	29	115
0	30	15
0	30	41
